episode,reward_first0,reward_second0,rolling_avg_30,epsilon
337,-4.0,4.0,-4.27,0.2
338,0.0,0.0,-4.5,0.2
339,4.0,-4.0,-4.13,0.2
340,-10.0,10.0,-4.63,0.2
341,0.0,0.0,-4.47,0.2
342,-4.0,4.0,-3.77,0.2
343,-4.0,4.0,-3.67,0.2
344,19.0,-19.0,-3.33,0.2
345,18.0,-18.0,-2.8,0.2
346,-1.0,1.0,-1.93,0.2
347,8.0,-8.0,-1.2,0.2
348,4.0,-4.0,-0.87,0.2
349,-5.0,5.0,-0.9,0.2
350,8.0,-8.0,-1.07,0.2
351,-9.0,9.0,-1.4,0.2
352,-1.0,1.0,-1.5,0.2
353,3.0,-3.0,-1.43,0.2
354,-2.0,2.0,-1.17,0.2
355,-11.0,11.0,-1.53,0.2
356,-8.0,8.0,-1.73,0.2
357,-4.0,4.0,-1.7,0.2
358,-2.0,2.0,-1.9,0.2
359,-1.0,1.0,-1.53,0.2
360,-14.0,14.0,-1.67,0.2
361,0.0,0.0,-1.4,0.2
362,1.0,-1.0,-1.23,0.2
363,-8.0,8.0,-1.33,0.2
364,-7.0,7.0,-1.97,0.2
365,-7.0,7.0,-2.1,0.2
366,-20.0,20.0,-1.9,0.2
367,11.0,-11.0,-1.4,0.2
368,-3.0,3.0,-1.5,0.2
369,-7.0,7.0,-1.87,0.2
370,-11.0,11.0,-1.9,0.2
371,3.0,-3.0,-1.8,0.2
372,-10.0,10.0,-2.0,0.2
373,13.0,-13.0,-1.43,0.2
374,-17.0,17.0,-2.63,0.2
375,3.0,-3.0,-3.13,0.2
376,-4.0,4.0,-3.23,0.2
377,-5.0,5.0,-3.67,0.2
378,-2.0,2.0,-3.87,0.2
379,8.0,-8.0,-3.43,0.2
380,-8.0,8.0,-3.97,0.2
381,2.0,-2.0,-3.6,0.2
382,-9.0,9.0,-3.87,0.2
383,-2.0,2.0,-4.03,0.2
384,3.0,-3.0,-3.87,0.2
385,1.0,-1.0,-3.47,0.2
386,5.0,-5.0,-3.03,0.2
387,1.0,-1.0,-2.87,0.2
388,6.0,-6.0,-2.6,0.2
389,-2.0,2.0,-2.63,0.2
390,10.0,-10.0,-1.83,0.2
391,-8.0,8.0,-2.1,0.2
392,-4.0,4.0,-2.27,0.2
393,-1.0,1.0,-2.03,0.2
394,12.0,-12.0,-1.4,0.2
395,-8.0,8.0,-1.43,0.2
396,-2.0,2.0,-0.83,0.2
397,2.0,-2.0,-1.13,0.2
398,2.0,-2.0,-0.97,0.2
399,12.0,-12.0,-0.33,0.2
400,-15.0,15.0,-0.47,0.2
401,5.0,-5.0,-0.4,0.2
