episode,reward_first0,reward_second0,rolling_avg_30,epsilon
242,-2.0,2.0,-3.87,0.28
243,2.0,-2.0,-3.67,0.279
244,-2.0,2.0,-3.53,0.277
245,-1.0,1.0,-3.13,0.276
246,-36.0,36.0,-4.37,0.275
247,1.0,-1.0,-4.23,0.273
248,0.0,0.0,-3.9,0.272
249,1.0,-1.0,-3.57,0.27
250,-4.0,4.0,-3.27,0.269
251,-13.0,13.0,-3.7,0.267
252,3.0,-3.0,-3.47,0.266
253,-5.0,5.0,-3.67,0.264
254,-1.0,1.0,-3.17,0.263
255,0.0,0.0,-3.1,0.262
256,-2.0,2.0,-3.23,0.26
257,-1.0,1.0,-3.27,0.259
258,-7.0,7.0,-3.23,0.257
259,-5.0,5.0,-3.37,0.256
260,-6.0,6.0,-3.3,0.255
261,2.0,-2.0,-3.37,0.253
262,-3.0,3.0,-3.37,0.252
263,-8.0,8.0,-3.6,0.251
264,-12.0,12.0,-4.03,0.249
265,-6.0,6.0,-4.27,0.248
266,0.0,0.0,-3.83,0.247
267,-14.0,14.0,-4.33,0.245
268,-7.0,7.0,-4.5,0.244
269,-2.0,2.0,-4.53,0.243
270,-5.0,5.0,-4.43,0.241
271,-1.0,1.0,-4.47,0.24
272,-9.0,9.0,-4.7,0.239
273,-3.0,3.0,-4.87,0.238
274,-14.0,14.0,-5.27,0.236
275,3.0,-3.0,-5.13,0.235
276,8.0,-8.0,-3.67,0.234
277,2.0,-2.0,-3.63,0.233
278,-1.0,1.0,-3.67,0.231
279,-16.0,16.0,-4.23,0.23
280,2.0,-2.0,-4.03,0.229
281,-15.0,15.0,-4.1,0.228
282,-2.0,2.0,-4.27,0.226
283,-6.0,6.0,-4.3,0.225
284,-6.0,6.0,-4.47,0.224
285,1.0,-1.0,-4.43,0.223
286,0.0,0.0,-4.37,0.222
287,0.0,0.0,-4.33,0.22
288,3.0,-3.0,-4.0,0.219
289,-10.0,10.0,-4.17,0.218
290,7.0,-7.0,-3.73,0.217
291,1.0,-1.0,-3.77,0.216
292,-2.0,2.0,-3.73,0.215
293,-4.0,4.0,-3.6,0.213
294,-5.0,5.0,-3.37,0.212
295,-7.0,7.0,-3.4,0.211
296,6.0,-6.0,-3.2,0.21
297,1.0,-1.0,-2.7,0.209
298,-1.0,1.0,-2.5,0.208
299,1.0,-1.0,-2.4,0.207
300,6.0,-6.0,-2.03,0.206
301,-15.0,15.0,-2.5,0.204
302,-4.0,4.0,-2.33,0.203
303,0.0,0.0,-2.23,0.202
304,-2.0,2.0,-1.83,0.201
305,-5.0,5.0,-2.1,0.2
306,-17.0,17.0,-2.93,0.2
307,2.0,-2.0,-2.93,0.2
308,-7.0,7.0,-3.13,0.2
309,0.0,0.0,-2.6,0.2
310,-3.0,3.0,-2.77,0.2
311,-18.0,18.0,-2.87,0.2
312,-1.0,1.0,-2.83,0.2
313,-1.0,1.0,-2.67,0.2
314,-3.0,3.0,-2.57,0.2
315,-1.0,1.0,-2.63,0.2
316,-3.0,3.0,-2.73,0.2
317,2.0,-2.0,-2.67,0.2
318,-2.0,2.0,-2.83,0.2
319,-6.0,6.0,-2.7,0.2
320,-6.0,6.0,-3.13,0.2
321,2.0,-2.0,-3.1,0.2
322,1.0,-1.0,-3.0,0.2
323,-2.0,2.0,-2.93,0.2
324,0.0,0.0,-2.77,0.2
325,-3.0,3.0,-2.63,0.2
326,-11.0,11.0,-3.2,0.2
327,-7.0,7.0,-3.47,0.2
328,-1.0,1.0,-3.47,0.2
329,-4.0,4.0,-3.63,0.2
330,-1.0,1.0,-3.87,0.2
331,-7.0,7.0,-3.6,0.2
332,-4.0,4.0,-3.6,0.2
333,-1.0,1.0,-3.63,0.2
334,-11.0,11.0,-3.93,0.2
335,4.0,-4.0,-3.63,0.2
336,-11.0,11.0,-3.43,0.2
337,-16.0,16.0,-4.03,0.2
338,-1.0,1.0,-3.83,0.2
339,-6.0,6.0,-4.03,0.2
340,1.0,-1.0,-3.9,0.2
341,-26.0,26.0,-4.17,0.2
342,1.0,-1.0,-4.1,0.2
343,-12.0,12.0,-4.47,0.2
344,-9.0,9.0,-4.67,0.2
345,-9.0,9.0,-4.93,0.2
346,-6.0,6.0,-5.03,0.2
347,-4.0,4.0,-5.23,0.2
348,1.0,-1.0,-5.13,0.2
349,-6.0,6.0,-5.13,0.2
350,-1.0,1.0,-4.97,0.2
351,-3.0,3.0,-5.13,0.2
352,-1.0,1.0,-5.2,0.2
353,-7.0,7.0,-5.37,0.2
354,-4.0,4.0,-5.5,0.2
355,-6.0,6.0,-5.6,0.2
356,0.0,0.0,-5.23,0.2
357,-14.0,14.0,-5.47,0.2
358,1.0,-1.0,-5.4,0.2
359,-3.0,3.0,-5.37,0.2
360,-2.0,2.0,-5.4,0.2
361,-13.0,13.0,-5.6,0.2
362,-4.0,4.0,-5.6,0.2
363,-6.0,6.0,-5.77,0.2
364,-8.0,8.0,-5.67,0.2
365,-6.0,6.0,-6.0,0.2
366,2.0,-2.0,-5.57,0.2
367,-1.0,1.0,-5.07,0.2
368,-13.0,13.0,-5.47,0.2
369,-7.0,7.0,-5.5,0.2
